uid,max_diff
6XnSXLX5,15.46946907043457
AQmKxV3m,12.918335914611816
Zr-wkyVv,15.720052719116211
OkV2COYq,10.57082748413086
EoFy1t_b,9.982670783996582
txRx0jUY,14.945347785949707
rH6V_JxK,15.939068794250488
3FMZztFu,21.347007751464844
4ZquiBCy,12.941385269165039
V0J68ThE,9.540301322937012
l2wWJGQu,11.607796669006348
0rDIUJV9,11.275254249572754
NqEE02yo,16.21002960205078
yInCr3EF,14.899170875549316
DAmCeStL,14.995306015014648
OYLlSjme,13.934409141540527
JCS1ZGsb,11.293972969055176
ZYxcT4cR,16.592914581298828
1wnQlVBo,14.8837251663208
cr0Z_MSm,12.155477523803711
tIYIVjv9,10.880465507507324
yaWJ3YVj,9.452661514282227
2yhkFRcj,9.40566635131836
Y4FW1e4a,11.357547760009766
8xq2toLl,23.523361206054688
odG3v59M,15.047036170959473
Dydeunq-,11.903507232666016
8CbGs4xE,12.275150299072266
LAUVDVAg,12.579127311706543
TkjxHnBz,15.047127723693848
efcD39fB,6.970555782318115
Sbja52F-,12.811198234558105
Sxbghjz_,13.399429321289062
WEs6wl1Q,12.807954788208008
Z8iurjB-,9.162505149841309
i5lVGUxg,14.948432922363281
gQO8CWhg,11.517123222351074
ajODGD9o,16.917810440063477
_y_1oDLv,13.817270278930664
MBySinCG,13.957226753234863
Zl_7FsA1,15.855717658996582
sWgVJwqY,8.767682075500488
Wm19EdR_,16.927024841308594
mxNsgK5H,12.678787231445312
n6vpjcQ2,11.105626106262207
RhXb2wq1,7.038658142089844
D3iFUxAl,14.60482120513916
q8qnewcd,14.020758628845215
d-h4O7n6,16.07183837890625
8NoS7Yds,14.899009704589844
b2y_XObx,13.548599243164062
PvZSPDXt,8.004606246948242
N2EtNygr,13.114433288574219
Vb_8_g17,15.134949684143066
B6RtQLgs,8.996613502502441
W9pvnuig,11.330849647521973
_wYlbjQ-,10.63330364227295
vNWgk2hp,9.799652099609375
l8imirDz,15.555919647216797
SFduoZAR,12.213650703430176
x2TpQJ4T,14.731398582458496
ZFtj8j4p,12.115996360778809
poQ-sYm3,12.465801239013672
g2KCZZO6,11.561144828796387
TsIjjEpX,11.063408851623535
iyO1kOr0,12.387886047363281
EuYVMoMe,11.452043533325195
h_Lgdd1s,16.60297203063965
TO3T0hZS,10.38281536102295
faORqPfl,13.544862747192383
y-u7HSH7,13.040522575378418
W-ojKauz,10.876669883728027
NN1UHzeQ,15.01009750366211
k2xFAqzy,13.246583938598633
gy2YNgl4,9.534378051757812
_Z7RF2Pk,10.81580924987793
3QV7W4d1,10.081297874450684
kIgD--67,15.757164001464844
WKoT90OG,11.54670524597168
MBnftP80,13.301412582397461
d5q9B8Mv,15.491659164428711
u7vPQZyY,14.435276985168457
N3ZP4vB6,15.38499641418457
jWUpY2U4,12.549811363220215
CkI1RWzV,12.829995155334473
_me9eA6h,13.766654014587402
4veOH2QL,5.774296283721924
os1Sf8EA,11.06480598449707
bZFI_jyk,7.958250045776367
AjTfmF11,11.658662796020508
1rcag28t,9.6341552734375
NTL6g_dn,7.972141742706299
I75v8dvo,10.76179027557373
ruPMsF2W,14.643956184387207
IyLRm99I,12.857850074768066
mtu2M5V4,8.68002986907959
0E8rI1Vv,10.765361785888672
_E0IOShw,16.417945861816406
Jj50u31j,9.53909969329834
yohYg_ui,10.132104873657227
0gtNQfvw,18.25710105895996
s_vFxo91,13.400128364562988
v2aZK9Vv,13.146258354187012
VTvmeG-i,15.831246376037598
Ba5fFZGu,13.572802543640137
uBIhExls,10.994839668273926
_oHgezTZ,10.187653541564941
i_cJTkLP,14.682759284973145
G0W2ZuXI,14.254986763000488
EkZZlGCx,16.898984909057617
Cll8Bdl-,9.859782218933105
toZsiHEr,17.512205123901367
xOxsaWhw,5.7573747634887695
kLPl7aeH,19.09403419494629
JZyR-ghO,13.955055236816406
csXrKvG_,18.313596725463867
6R5SVE8U,12.748611450195312
jf1UtvVX,12.675163269042969
WWAXvYlw,13.59783935546875
JEwXme_P,13.71633529663086
ccXqwISJ,13.485365867614746
RDqwGBfQ,12.762019157409668
2Y39xFJy,11.529325485229492
L8YKC6u_,13.425690650939941
ghJ6zOXW,6.640639781951904
hnqHHgcE,17.496265411376953
KbCBuL0n,10.297279357910156
8-QDloTX,11.17805004119873
NSBAczVj,16.044240951538086
0MqlY5yX,21.966501235961914
nzPsuuN6,15.174488067626953
ZcD1WW9z,7.312705039978027
nlMYnsf1,11.474937438964844
fN_Ebiaz,7.134315490722656
Nl7pl1fN,17.607784271240234
YTqCEW1V,10.4330472946167
LouVJfli,11.309216499328613
OMJzvnQZ,15.3399019241333
KlJ3rQTt,10.088500022888184
A8DJPoog,12.7503662109375
_WfcBD-g,10.838208198547363
c7Xy-Dcp,11.694439888000488
FqSScVIr,10.177990913391113
KKpRmML6,17.673234939575195
eSIL_YpZ,11.764813423156738
tkKPHi4A,13.313324928283691
cS4QkRE2,13.972375869750977
VvGtvQf6,15.825566291809082
4m1mLdgE,11.885504722595215
96CNAguj,11.326665878295898
Fp3o4pul,13.407894134521484
cDhBjCzj,9.388580322265625
j2wWWRi-,13.089762687683105
JOALpXpS,15.137358665466309
3Mz67Rhf,7.500863552093506
PTmwL8Yj,12.548494338989258
qR_bpKxb,13.667819023132324
3nGz6PTm,14.752998352050781
fvg8bKd9,9.936994552612305
KNMnUbKL,12.49964714050293
5FBD91Z2,18.701454162597656
8i_gQk_j,9.521703720092773
kzYVS7uw,12.994906425476074
66s_I26U,9.4921875
eC8IFIaW,9.33507251739502
ONDwud06,14.003891944885254
akstD0Hu,19.07398796081543
xZ1jYKSe,13.452374458312988
bpXkjBar,12.786026954650879
TCRR_ML_,15.894038200378418
ceBJhDLd,14.516559600830078
TzLsptaw,11.8135347366333
TrasLzSR,10.157986640930176
i1LE8ER8,18.17198944091797
UAWrADoH,14.507524490356445
xWPagcC1,17.73200035095215
RYOUtdz4,10.717143058776855
gOqoiZfa,15.468277931213379
eqpY8bho,15.797123908996582
AoQqwX3Z,15.515226364135742
OzfdFE7p,8.759783744812012
gLbAPQGm,19.482662200927734
ooRRpizn,12.351363182067871
37ULRyGI,9.14517879486084
3nH7xM7L,13.8145751953125
2LQYUZY1,12.34012222290039
x4tB5r7O,14.349547386169434
ON6Db9wi,9.217659950256348
PsQprSne,7.614608287811279
FH38ZJSf,8.048198699951172
e_ff8PbO,13.722681045532227
pPRvvkzZ,12.380976676940918
RmGpFgtR,8.584308624267578
9Hvpzkrb,13.972566604614258
dwTtyn0M,14.868295669555664
SRhM796D,14.933799743652344
KKArHlCa,11.29874324798584
QgmwccEx,14.25492000579834
a7VWlaJH,14.317390441894531
KOyc1Rgq,9.687371253967285
i5egsBGp,8.250862121582031
gtROtlrM,14.448488235473633
VMsKSthq,4.978384971618652
KZJoR-Qe,16.479379653930664
N0LA1Vch,13.54654598236084
j-wJafXV,14.08796215057373
LGVQ01oC,20.216503143310547
l1YDPQyr,11.186529159545898
ZNTIfjf-,8.173974990844727
R2tBHAw3,8.525094032287598
BapQ1Pug,14.342580795288086
aF6Lka31,16.371932983398438
ZG-4EFHO,12.974959373474121
vhDWPzia,13.933072090148926
_qb4PMtK,9.850252151489258
CA5XKDnA,14.862293243408203
V3pALXqB,14.200684547424316
wy5bMyDO,14.529356002807617
Qwx2aYYX,14.409701347351074
wmh7KOxT,10.45570182800293
1Gr0ZZ6O,9.15515422821045
tj2B1mle,12.63693904876709
MVUhzPUs,12.823562622070312
kdKoe32w,14.392468452453613
4iPDKtPk,10.112909317016602
TfO2-UL7,10.473095893859863
HFPzPIhm,11.005939483642578
84kxi_zm,18.12472915649414
ADxPkvmp,15.52384090423584
srhqhKph,12.225180625915527
v3lMYks5,9.207801818847656
Vx6vjhEi,12.227545738220215
CrbPBCSY,14.381335258483887
H6Wn6SRL,14.688322067260742
00zAmRkH,12.33549976348877
511UFMX5,9.403878211975098
7KC1zagf,17.99131965637207
HxJ3q6sK,18.7485294342041
CUAUyXDs,11.608057022094727
TgkK1kch,10.946292877197266
bnr51Yb4,10.7680082321167
j_BF3z6G,12.987069129943848
6oLsc1dw,7.3868184089660645
uX6SMNS0,17.216684341430664
qiEUnPiS,14.278214454650879
Tbi55eIB,12.086140632629395
grjLxGFM,16.64868927001953
i_-68haY,16.08857536315918
Zr8U2Lkv,11.814250946044922
z7ykMQNb,13.504717826843262
xoW-srpG,5.48142671585083
sR5rV1X5,15.845460891723633
