uid,max_diff
e_ff8PbO,76.8548583984375
pPRvvkzZ,75.57813262939453
RmGpFgtR,74.67412567138672
9Hvpzkrb,68.57303619384766
dwTtyn0M,70.46292114257812
SRhM796D,74.75772857666016
KKArHlCa,71.09486389160156
QgmwccEx,76.93142700195312
a7VWlaJH,72.2454833984375
KOyc1Rgq,74.2587890625
i5egsBGp,63.71486282348633
gtROtlrM,83.02996826171875
VMsKSthq,75.71343231201172
KZJoR-Qe,72.8036880493164
N0LA1Vch,76.6556396484375
j-wJafXV,68.43147277832031
LGVQ01oC,74.2429428100586
l1YDPQyr,74.83330535888672
ZNTIfjf-,75.21115112304688
R2tBHAw3,71.55023193359375
BapQ1Pug,67.7097396850586
aF6Lka31,82.00448608398438
ZG-4EFHO,72.32383728027344
vhDWPzia,65.64202117919922
_qb4PMtK,69.94806671142578
CA5XKDnA,76.31372833251953
V3pALXqB,74.75559997558594
wy5bMyDO,71.1166763305664
Qwx2aYYX,76.362548828125
wmh7KOxT,70.09872436523438
1Gr0ZZ6O,61.28252410888672
tj2B1mle,76.12946319580078
MVUhzPUs,68.13976287841797
kdKoe32w,71.63471221923828
4iPDKtPk,74.74543762207031
TfO2-UL7,68.26539611816406
HFPzPIhm,65.9388427734375
84kxi_zm,75.12736511230469
ADxPkvmp,77.61814880371094
srhqhKph,69.93815612792969
v3lMYks5,69.35136413574219
Vx6vjhEi,74.08295440673828
CrbPBCSY,71.82610321044922
H6Wn6SRL,76.74246978759766
00zAmRkH,75.42391967773438
511UFMX5,64.3014144897461
7KC1zagf,75.04962921142578
HxJ3q6sK,78.04092407226562
CUAUyXDs,76.73835754394531
TgkK1kch,74.72891235351562
bnr51Yb4,74.3814468383789
j_BF3z6G,81.55127716064453
6oLsc1dw,71.62335968017578
uX6SMNS0,82.68842315673828
qiEUnPiS,68.17800903320312
Tbi55eIB,73.14696502685547
grjLxGFM,78.85829162597656
i_-68haY,75.80516052246094
Zr8U2Lkv,74.66424560546875
z7ykMQNb,73.74468994140625
xoW-srpG,72.7657470703125
sR5rV1X5,74.73054504394531
cey4Qypk,75.01667022705078
HJmeZTAv,69.46134185791016
X-9Z1RHt,74.46234130859375
pVoC0pW9,78.43748474121094
BR2cmQdt,73.14759826660156
mxIwDDaA,66.54255676269531
cDWIel-E,67.98223114013672
NSL9f4Wz,57.182212829589844
nRwdPKGx,76.72659301757812
6uHK9Ix4,74.5724105834961
NcWxx85n,79.46406555175781
Y8cEe76u,64.40103912353516
ibhu9Chz,71.82452392578125
Zu1twJoK,72.1083755493164
Z1VzLkkq,76.20514678955078
u-ju-yW-,71.92047119140625
zLu8GDZY,69.93080139160156
zBl5yIfJ,71.08710479736328
pV8QQhT6,72.67798614501953
u8Sp_6QD,67.55812072753906
mM8SR-MD,67.74019622802734
__Tm2-rC,75.51251220703125
tZNz451L,73.26998138427734
R53jWrc1,69.350830078125
qBG8aNi2,77.45404815673828
F1yBpv2V,78.65181732177734
agPxuLJq,78.34588623046875
unHGvRFj,77.40264129638672
muCc6GnC,77.2397232055664
XuW_yyso,80.42769622802734
9h6nCA43,74.99822998046875
M1IbO1jn,78.49584197998047
qCXBYIm-,77.09701538085938
f-g-s5jh,71.82798767089844
CdCyVSh9,77.76879119873047
p2hzJBno,76.04937744140625
cjPXwETO,76.68218994140625
tzzjgdsT,72.1239013671875
5XUT3_pp,80.03722381591797
jPpkOfRT,79.79764556884766
6mTIav00,81.50293731689453
cmqpg7Y2,71.5973892211914
cIhqtTb_,65.5878677368164
SqfmOseh,77.45093536376953
pf-BRzwe,74.93592834472656
bx8yigX-,82.04471588134766
ZnwBkLnx,68.19410705566406
ndlUgtpt,72.00621795654297
bw4cOGuo,76.61277770996094
bBrqfRH1,71.390869140625
0yR9vUzO,72.30010986328125
kknX9pBZ,73.10759735107422
QMliJ7Tw,68.28727722167969
PSaDd-Uf,72.59186553955078
b-AMrv0k,70.77436828613281
5d2Opx5J,71.51824951171875
2BXf0vWz,71.4820556640625
UH7HVaXk,77.95821380615234
Mk02fLJ5,76.04285430908203
hKLZT7Ap,76.59515380859375
kS-oJxyh,70.3005599975586
rhlbnIAK,75.84806060791016
ae67En2I,75.1077651977539
QfridxTA,65.93209075927734
naXItTDD,81.32881164550781
CDGt7toJ,76.37629699707031
LmuP4dKS,71.2009048461914
pLl9qRc1,67.7125473022461
ji5yokpe,71.7134017944336
jcZtOU0f,76.91462707519531
vqZnnd05,75.0559310913086
IqoxY91e,72.15324401855469
ddfRtxQ7,77.9705581665039
dI5QpMhy,68.88011169433594
0V4tXKl6,72.47057342529297
GM1UXxT2,69.11715698242188
EBRPAeWk,68.17887878417969
B5dP3ipk,64.41133880615234
_ZttKCkC,76.90912628173828
6bfyWfYM,80.97953033447266
UAfsDPRp,69.10991668701172
e38Pyf7u,70.75718688964844
0BKu4YEx,67.81063079833984
jmfRfLOE,60.53402328491211
rBVZCC04,71.94800567626953
ye4qpmqw,73.18122100830078
COc5jeT4,73.48765563964844
5XW0s_cO,73.61136627197266
zrcyicOw,75.71452331542969
arXs0a99,78.84042358398438
JpLgm_Hk,72.12882232666016
icuYWpPu,66.64005279541016
8BWPr0Qq,75.36204528808594
66WU1K5c,74.49453735351562
tZibX4fY,73.18901824951172
kvy0O2OQ,78.2177734375
n9YRkow8,77.00775909423828
V2pre35c,79.75685119628906
94vfVSbv,65.46141815185547
bC73D_4G,78.37596893310547
dJKx9jaB,77.61013793945312
doKXOGmh,64.34972381591797
xMBwHZwZ,74.02741241455078
CdxgQax7,73.54962921142578
DQwUT8YN,61.50096130371094
wDJO_L9J,70.86221313476562
62pZQnbK,57.37236022949219
9a9ZP55t,75.37946319580078
_eU7OUN9,71.57766723632812
EfIzdbcw,73.9697265625
7AZuL0qq,76.76611328125
ambqKdUW,71.11875915527344
Y5R3_CiI,81.57525634765625
IgYG0Eeb,77.91886901855469
O-qFWRzj,80.47782135009766
6u3dZLAw,66.86065673828125
QvpZmKvj,76.83418273925781
kyeU8qLs,79.06702423095703
gzUA9oi3,69.01885986328125
qoh9boMk,74.03561401367188
V9cDFBFF,73.62749481201172
QQIEBtKY,70.32538604736328
Z4nD8kVA,77.21128845214844
SIRHbTmg,75.75660705566406
o_sdYiU7,73.19485473632812
_JBG6lAy,76.44937133789062
TcmTpnzO,79.09629821777344
PYcXw1In,62.619380950927734
98pqOUSJ,71.97571563720703
DqiQ_3i5,78.41191101074219
Hw09oGHX,76.34081268310547
q3XCE61P,76.79266357421875
FaV49KIv,69.80870056152344
rOiewAdE,70.15766906738281
R2kq14eM,72.75653839111328
jrjk0J1x,72.09314727783203
t85iOZf9,66.27559661865234
slTS3uai,76.10297393798828
RWCcwIn3,74.18977355957031
ZbxoRlby,75.21085357666016
dUvNgCWj,73.86225128173828
TNC7BABM,73.98667907714844
u04_rUy4,70.52352905273438
hr7aBhty,67.73539733886719
2JkIXPyC,78.07109069824219
geBDujz5,77.26070404052734
wUdhlz8W,65.39459991455078
e6ETW9wF,70.12755584716797
Z_kdal0e,79.09247589111328
T3K9w8qN,67.56654357910156
6iebN2En,74.23656463623047
kS53jvp-,67.54086303710938
WHvqnAyJ,68.06517791748047
JebnuoL4,74.07958221435547
B7NNqRWC,72.1534194946289
vTh60NYT,75.7681884765625
-O96ARLe,71.65782165527344
yFSkG3Ix,74.86686706542969
gn9Wabbq,69.12976837158203
PNdNdLO4,62.6743278503418
ELxYCMN0,68.11306762695312
