pickscore; score: 21.18567919921875
hpsv2; score: 0.27516212263703343
imagereward; score: 0.4971471330842469
clipscore; score: 32.13066864013672
vqascore; score: 0.6579850316047668
clip_iqa; score: 0.6421764446496964
deqa; score: 3.558814453125
aesthetic; score: 5.683588949203491
aesthetic_v2_5; score: 4.7180914878845215
vila; score: 0.5278152227401733
